companyId,companyName,measureId,v3jVerdict,v3kVerdict,v3jConfidence,v3kConfidence,v3jQuoteCount,v3kQuoteCount,v3jSourceUrls,v3kSourceUrls,snapshotIdV3j,snapshotIdV3k
853,Amazon,2.1a-ai-use-cases-qualitative,Yes,No,High,High,2,0,https://www.sec.gov/Archives/edgar/data/1018724/000110465926041026/tm261382-1_def14a.htm ; https://www.sec.gov/Archives/edgar/data/1018724/000110465926041026/tm261382-1_def14a.htm,,72,85
853,Amazon,2.2a-ai-production-deployment,Yes,No,High,High,1,0,https://www.sec.gov/Archives/edgar/data/1018724/000110465926041026/tm261382-1_def14a.htm,,72,85
853,Amazon,3.4-ai-safety-robustness,Yes,No,High,High,5,0,https://aws.amazon.com/blogs/publicsector/national-framework-for-ai-assurance-in-australian-government-guidance-when-building-with-aws-ai-ml-solutions/ ; https://aws.amazon.com/blogs/publicsector/national-framework-for-ai-assurance-in-australian-government-guidance-when-building-with-aws-ai-ml-solutions/ ; https://aws.amazon.com/blogs/publicsector/national-framework-for-ai-assurance-in-australian-government-guidance-when-building-with-aws-ai-ml-solutions/ ; https://aws.amazon.com/blogs/machine-learning/responsible-ai-in-action-how-data-reply-red-teaming-supports-generative-ai-safety-on-aws/ ; https://www.aboutamazon.com/news/company-news/amazon-responsible-ai,,72,85
552,Oracle,2.2a-ai-production-deployment,Yes,No,High,High,1,0,https://www.oracle.com/financial-services/chartis-ai-report/,,72,85
552,Oracle,2.3-ai-use-case-descriptions,Yes,No,High,High,3,1,https://www.oracle.com/artificial-intelligence/ai-vs-gen-ai-vs-ml/ ; https://www.oracle.com/artificial-intelligence/generative-ai/ ; https://www.oracle.com/artificial-intelligence/machine-learning/,https://www.oracle.com/artificial-intelligence/ai-vs-gen-ai-vs-ml/,72,85
552,Oracle,4.2-operationalisation-ai-principles,Partial,Yes,Low,High,5,3,https://blogs.oracle.com/cloud-infrastructure/raising-the-bar-for-trustworthy-ai-at-oracle ; https://www.oracle.com/il-en/corporate/responsible-ai-iso-42001/ ; https://www.ateam-oracle.com/ciso-perspectives-a-practical-guide-to-implementing-the-nist-ai-risk-management-framework-ai-rmf ; https://www.oracle.com/ai-data-platform/ ; https://blogs.oracle.com/ai-and-datascience/building-trustworthy-ai-at-oracle,https://blogs.oracle.com/cloud-infrastructure/raising-the-bar-for-trustworthy-ai-at-oracle ; https://www.oracle.com/il-en/corporate/responsible-ai-iso-42001/ ; https://www.ateam-oracle.com/ciso-perspectives-a-practical-guide-to-implementing-the-nist-ai-risk-management-framework-ai-rmf,72,85
552,Oracle,8.2-ai-public-policy-advocacy,Yes,No,High,High,1,0,https://blogs.oracle.com/cloud-infrastructure/raising-the-bar-for-trustworthy-ai-at-oracle,,72,85
552,Oracle,9.3-ai-business-model-risk,No,Partial,High,Low,0,1,,https://www.sec.gov/Archives/edgar/data/1341439/000095017025087926/orcl-20250531.htm,72,85
1918,Meta,1.2-ai-competitive-driver,Partial,No,Low,High,2,1,https://www.sec.gov/Archives/edgar/data/1326801/000162828026025532/meta-20260416.htm ; https://www.sec.gov/Archives/edgar/data/1326801/000162828026025532/meta-20260416.htm,https://www.sec.gov/Archives/edgar/data/1326801/000162828026003942/meta-20251231.htm,72,85
1918,Meta,2.1a-ai-use-cases-qualitative,Yes,Partial,High,Low,3,2,https://www.sec.gov/Archives/edgar/data/1326801/000162828026025532/meta-20260416.htm ; https://www.sec.gov/Archives/edgar/data/1326801/000162828026028526/meta-20260331.htm ; https://www.sec.gov/Archives/edgar/data/1326801/000162828026028526/meta-20260331.htm,https://www.sec.gov/Archives/edgar/data/1326801/000162828026025532/meta-20260416.htm ; https://www.sec.gov/Archives/edgar/data/1326801/000162828026003942/meta-20251231.htm,72,85
1918,Meta,3.3-ai-governance-committees,Yes,No,High,High,1,1,https://www.sec.gov/Archives/edgar/data/1326801/000162828026025532/meta-20260416.htm,https://www.sec.gov/Archives/edgar/data/1326801/000162828026025532/meta-20260416.htm,72,85
1312,NVIDIA,2.1a-ai-use-cases-qualitative,Yes,Partial,High,Low,5,3,https://fortune.com/company-assets/1936/quartr/annual-report-10-k-4ccfc-2026-02-25-09-13-43.pdf ; https://fortune.com/company-assets/1936/quartr/annual-report-10-k-4ccfc-2026-02-25-09-13-43.pdf ; https://fortune.com/company-assets/1936/quartr/annual-report-10-k-4ccfc-2026-02-25-09-13-43.pdf ; https://www.nvidia.com/en-us/solutions/ai/cybersecurity/ ; https://images.nvidia.com/aem-dam/Solutions/documents/NVIDIA-Sustainability-Report-Fiscal-Year-2025.pdf,https://investor.nvidia.com/files/doc_financials/2026/q4/10K-NVDA.pdf ; https://www.nvidia.com/en-us/solutions/ai/cybersecurity/ ; https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,72,85
1312,NVIDIA,4.2-operationalisation-ai-principles,Yes,Partial,High,Low,4,5,https://images.nvidia.com/aem-dam/Solutions/documents/FY2024-NVIDIA-Corporate-Sustainability-Report.pdf ; https://images.nvidia.com/aem-dam/Solutions/documents/FY2024-NVIDIA-Corporate-Sustainability-Report.pdf ; https://images.nvidia.com/aem-dam/Solutions/documents/NVIDIA-Sustainability-Report-Fiscal-Year-2025.pdf ; https://images.nvidia.com/content/pdf/NVIDIA-Frontier-AI-Risk-Assessment.pdf,https://images.nvidia.com/aem-dam/Solutions/documents/FY2024-NVIDIA-Corporate-Sustainability-Report.pdf ; https://images.nvidia.com/aem-dam/Solutions/documents/NVIDIA-Sustainability-Report-Fiscal-Year-2025.pdf ; https://images.nvidia.com/aem-dam/Solutions/documents/FY2024-NVIDIA-Corporate-Sustainability-Report.pdf ; https://images.nvidia.com/aem-dam/Solutions/documents/FY2024-NVIDIA-Corporate-Sustainability-Report.pdf ; https://images.nvidia.com/content/pdf/NVIDIA-Frontier-AI-Risk-Assessment.pdf,72,85
1312,NVIDIA,4.3-data-security-privacy-ai,Yes,No,High,High,2,2,https://images.nvidia.com/aem-dam/Solutions/documents/FY2024-NVIDIA-Corporate-Sustainability-Report.pdf ; https://images.nvidia.com/aem-dam/Solutions/documents/FY2024-NVIDIA-Corporate-Sustainability-Report.pdf,https://images.nvidia.com/aem-dam/Solutions/documents/FY2024-NVIDIA-Corporate-Sustainability-Report.pdf ; https://images.nvidia.com/aem-dam/Solutions/documents/FY2024-NVIDIA-Corporate-Sustainability-Report.pdf,72,85
1312,NVIDIA,5.1a-ai-kpis-qualitative,Yes,No,High,High,2,0,https://images.nvidia.com/aem-dam/Solutions/documents/NVIDIA-Sustainability-Report-Fiscal-Year-2025.pdf ; https://images.nvidia.com/aem-dam/Solutions/documents/NVIDIA-Sustainability-Report-Fiscal-Year-2025.pdf,,72,85
1312,NVIDIA,9.1-ai-risk-factor-disclosure,No,Yes,High,High,0,1,,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,72,85
553,Microsoft,2.1a-ai-use-cases-qualitative,Partial,Yes,Low,High,6,5,https://www.sec.gov/Archives/edgar/data/789019/000121465925016180/u1110251px14a6g.htm ; https://blogs.microsoft.com/on-the-issues/2023/10/26/microsofts-ai-safety-policies/ ; https://blogs.microsoft.com/on-the-issues/2023/10/26/microsofts-ai-safety-policies/ ; https://blogs.microsoft.com/on-the-issues/2023/10/26/microsofts-ai-safety-policies/ ; https://blogs.microsoft.com/on-the-issues/2023/10/26/microsofts-ai-safety-policies/ ; https://blogs.microsoft.com/on-the-issues/2023/10/26/microsofts-ai-safety-policies/,https://www.sec.gov/Archives/edgar/data/789019/000121465925016180/u1110251px14a6g.htm ; https://blogs.microsoft.com/on-the-issues/2023/10/26/microsofts-ai-safety-policies/ ; https://blogs.microsoft.com/on-the-issues/2023/10/26/microsofts-ai-safety-policies/ ; https://blogs.microsoft.com/on-the-issues/2023/10/26/microsofts-ai-safety-policies/ ; https://blogs.microsoft.com/on-the-issues/2023/10/26/microsofts-ai-safety-policies/,72,85
553,Microsoft,3.1-board-oversight-ai-charter,No,Partial,High,Low,2,2,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/responsible-aI-transparency-report-2024.pdf ; https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/msc/documents/presentations/CSR/2024-Microsoft-TCFD-Report.pdf,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/msc/documents/presentations/CSR/Responsible-AI-Transparency-Report-2025-vertical.pdf ; https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/msc/documents/presentations/CSR/2024-Microsoft-TCFD-Report.pdf,72,85
553,Microsoft,3.1a-ai-board-discussion,Yes,No,High,High,2,0,https://www.sec.gov/Archives/edgar/data/789019/000119312525245150/d908201ddef14a.htm ; https://www.sec.gov/Archives/edgar/data/789019/000119312525245150/d908201ddef14a.htm,,72,85
553,Microsoft,4.3-data-security-privacy-ai,Yes,No,High,High,2,2,https://www.microsoft.com/en-us/ai/principles-and-approach ; https://www.microsoft.com/en-us/ai/responsible-ai,https://www.microsoft.com/en-us/ai/principles-and-approach ; https://www.microsoft.com/en-us/ai/responsible-ai,72,85
553,Microsoft,7.1-strategic-ai-partnerships,Yes,No,High,High,2,0,https://www.sec.gov/Archives/edgar/data/789019/000119312525245150/d908201ddef14a.htm ; https://blogs.microsoft.com/on-the-issues/2023/10/26/microsofts-ai-safety-policies/,,72,85
420,Salesforce,2.1a-ai-use-cases-qualitative,Partial,Yes,Low,High,5,3,https://www.sec.gov/Archives/edgar/data/1108524/000110852426000085/crm-20260416.htm ; https://www.sec.gov/Archives/edgar/data/1108524/000110852426000085/crm-20260416.htm ; https://www.salesforce.com/company/ethical-and-humane-use/explore-trusted-ai-resources/ ; https://www.salesforce.com/company/ethical-and-humane-use/explore-trusted-ai-resources/ ; https://www.salesforce.com/company/ethical-and-humane-use/explore-trusted-ai-resources/,https://www.salesforce.com/artificial-intelligence/ai-governance/ ; https://www.salesforce.com/company/ethical-and-humane-use/explore-trusted-ai-resources/ ; https://www.salesforce.com/company/ethical-and-humane-use/explore-trusted-ai-resources/,72,85
420,Salesforce,2.3-ai-use-case-descriptions,Partial,No,Low,High,2,0,https://stocklight.com/stocks/us/nyse-crm/salesforce-com/annual-reports/nyse-crm-2025-10K-25711276.pdf ; https://www.sec.gov/Archives/edgar/data/1108524/000110852426000085/crm-20260416.htm,,72,85
420,Salesforce,4.4-third-party-ai-risk,No,Yes,High,High,0,3,,https://www.salesforce.com/artificial-intelligence/ai-compliance/ ; https://www.salesforce.com/in/artificial-intelligence/ai-compliance/ ; https://www.salesforce.com/uk/artificial-intelligence/ai-compliance/,72,85
2063,Alphabet,1.1a-ai-strategic-priority,Yes,No,High,High,1,0,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,,72,85
2063,Alphabet,4.3-data-security-privacy-ai,No,Yes,High,High,3,3,https://www.sec.gov/Archives/edgar/data/1652044/000130817926000342/goog-20260424.htm ; https://www.sec.gov/Archives/edgar/data/1652044/000130817926000342/goog-20260424.htm ; https://www.sec.gov/Archives/edgar/data/1652044/000130817925000511/goog012701-def14a.htm,https://www.sec.gov/Archives/edgar/data/1652044/000130817926000342/goog-20260424.htm ; https://www.sec.gov/Archives/edgar/data/1652044/000130817926000342/goog-20260424.htm ; https://www.sec.gov/Archives/edgar/data/1652044/000130817925000511/goog012701-def14a.htm,72,85
2063,Alphabet,9.3-ai-business-model-risk,No,Yes,High,High,2,2,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm ; https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm ; https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,72,85
1914,360 Security,2.2a-ai-production-deployment,Partial,Yes,Low,High,4,2,https://static.cninfo.com.cn/finalpage/2026-04-30/1225257356.PDF ; https://static.cninfo.com.cn/finalpage/2026-04-30/1225257356.PDF ; https://static.cninfo.com.cn/finalpage/2026-04-30/1225257356.PDF ; https://static.cninfo.com.cn/finalpage/2026-04-30/1225257356.PDF,https://static.cninfo.com.cn/finalpage/2026-04-30/1225257356.PDF ; https://static.cninfo.com.cn/finalpage/2026-04-30/1225257356.PDF,72,85
