companyId,companyName,measureId,r12Verdict,r13Verdict,r12Conf,r13Conf,r12Quotes,r13Quotes,r12SourceUrls,r13SourceUrls
853,Amazon,2.1a-ai-use-cases-qualitative,No,Yes,High,High,0,3,,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm ; https://www.sec.gov/Archives/edgar/data/1018724/000110465926041026/tm261382-1_def14a.htm ; https://d1.awsstatic.com/onedam/marketing-channels/website/aws/en_US/whitepapers/compliance/AWS-User-Guide-Governance-Risk-Compliance-for-Responsible-AI-Adoption-Financial-Services.pdf
853,Amazon,3.4-ai-safety-robustness,No,Yes,High,High,0,4,,https://aws.amazon.com/blogs/publicsector/national-framework-for-ai-assurance-in-australian-government-guidance-when-building-with-aws-ai-ml-solutions/ ; https://aws.amazon.com/blogs/publicsector/national-framework-for-ai-assurance-in-australian-government-guidance-when-building-with-aws-ai-ml-solutions/ ; https://aws.amazon.com/blogs/machine-learning/responsible-ai-in-action-how-data-reply-red-teaming-supports-generative-ai-safety-on-aws/ ; https://aws.amazon.com/blogs/machine-learning/responsible-ai-in-action-how-data-reply-red-teaming-supports-generative-ai-safety-on-aws/
853,Amazon,4.1a-ai-policy-internal,Yes,No,High,High,2,1,https://d1.awsstatic.com/onedam/marketing-channels/website/aws/en_US/whitepapers/compliance/AWS-User-Guide-Governance-Risk-Compliance-for-Responsible-AI-Adoption-Financial-Services.pdf ; https://aws.amazon.com/blogs/security/enabling-ai-adoption-at-scale-through-enterprise-risk-management-framework-part-2/,https://d1.awsstatic.com/onedam/marketing-channels/website/aws/en_US/whitepapers/compliance/AWS-User-Guide-Governance-Risk-Compliance-for-Responsible-AI-Adoption-Financial-Services.pdf
552,Oracle,1.3-ai-technology-differentiation,Yes,Partial,High,Low,3,3,https://www.oracle.com/artificial-intelligence/ai-vs-gen-ai-vs-ml/ ; https://www.oracle.com/artificial-intelligence/ai-vs-gen-ai-vs-ml/ ; https://www.oracle.com/artificial-intelligence/ai-vs-gen-ai-vs-ml/,https://www.sec.gov/Archives/edgar/data/1341439/000095017025087926/orcl-20250531.htm ; https://www.oracle.com/artificial-intelligence/ai-vs-gen-ai-vs-ml/ ; https://www.oracle.com/artificial-intelligence/machine-learning/
552,Oracle,4.2-operationalisation-ai-principles,Yes,Partial,High,Low,3,4,https://blogs.oracle.com/cloud-infrastructure/raising-the-bar-for-trustworthy-ai-at-oracle ; https://www.oracle.com/il-en/corporate/responsible-ai-iso-42001/ ; https://www.ateam-oracle.com/ciso-perspectives-a-practical-guide-to-implementing-the-nist-ai-risk-management-framework-ai-rmf,https://blogs.oracle.com/cloud-infrastructure/raising-the-bar-for-trustworthy-ai-at-oracle ; https://www.oracle.com/il-en/corporate/responsible-ai-iso-42001/ ; https://www.ateam-oracle.com/ciso-perspectives-a-practical-guide-to-implementing-the-nist-ai-risk-management-framework-ai-rmf ; https://www.ateam-oracle.com/ciso-perspectives-a-practical-guide-to-implementing-the-nist-ai-risk-management-framework-ai-rmf
552,Oracle,9.3-ai-business-model-risk,Partial,Yes,Low,High,1,1,https://www.sec.gov/Archives/edgar/data/1341439/000095017025087926/orcl-20250531.htm,https://www.sec.gov/Archives/edgar/data/1341439/000095017025087926/orcl-20250531.htm
1918,Meta,1.2-ai-competitive-driver,No,Partial,High,Low,1,2,https://www.sec.gov/Archives/edgar/data/1326801/000162828026003942/meta-20251231.htm,https://www.sec.gov/Archives/edgar/data/1326801/000162828026025532/meta-20260416.htm ; https://www.sec.gov/Archives/edgar/data/1326801/000162828026025532/meta-20260416.htm
1918,Meta,1.4-ai-regulation-readiness,Yes,Partial,High,High,4,2,https://www.sec.gov/Archives/edgar/data/1326801/000162828026003942/meta-20251231.htm ; https://www.sec.gov/Archives/edgar/data/1326801/000132680124000022/meta-20240329.htm ; https://techstrong.ai/articles/meta-takes-a-cautionary-approach-with-ai-policy-document/ ; https://techstrong.ai/articles/meta-takes-a-cautionary-approach-with-ai-policy-document/,https://www.sec.gov/Archives/edgar/data/1326801/000162828026003942/meta-20251231.htm ; https://techstrong.ai/articles/meta-takes-a-cautionary-approach-with-ai-policy-document/
1918,Meta,2.1a-ai-use-cases-qualitative,Partial,Yes,Low,High,2,1,https://www.sec.gov/Archives/edgar/data/1326801/000162828026025532/meta-20260416.htm ; https://www.sec.gov/Archives/edgar/data/1326801/000162828026003942/meta-20251231.htm,https://www.sec.gov/Archives/edgar/data/1326801/000162828026025532/meta-20260416.htm
1312,NVIDIA,1.4-ai-regulation-readiness,Partial,Yes,High,High,2,2,https://images.nvidia.com/aem-dam/Solutions/documents/FY2024-NVIDIA-Corporate-Sustainability-Report.pdf ; https://images.nvidia.com/aem-dam/Solutions/documents/FY2024-NVIDIA-Corporate-Sustainability-Report.pdf,https://images.nvidia.com/aem-dam/Solutions/documents/FY2024-NVIDIA-Corporate-Sustainability-Report.pdf ; https://images.nvidia.com/aem-dam/Solutions/documents/FY2024-NVIDIA-Corporate-Sustainability-Report.pdf
1312,NVIDIA,2.1a-ai-use-cases-qualitative,Partial,Yes,Low,High,3,4,https://investor.nvidia.com/files/doc_financials/2026/q4/10K-NVDA.pdf ; https://www.nvidia.com/en-us/solutions/ai/cybersecurity/ ; https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,https://investor.nvidia.com/files/doc_financials/2026/q4/10K-NVDA.pdf ; https://investor.nvidia.com/files/doc_financials/2026/q4/10K-NVDA.pdf ; https://www.nvidia.com/en-us/solutions/ai/cybersecurity/ ; https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm
1312,NVIDIA,5.1a-ai-kpis-qualitative,No,Partial,High,Low,0,2,,https://images.nvidia.com/aem-dam/Solutions/documents/NVIDIA-Sustainability-Report-Fiscal-Year-2025.pdf ; https://images.nvidia.com/content/pdf/NVIDIA-Frontier-AI-Risk-Assessment.pdf
553,Microsoft,3.1-board-oversight-ai-charter,Partial,Yes,Low,Medium,2,2,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/msc/documents/presentations/CSR/Responsible-AI-Transparency-Report-2025-vertical.pdf ; https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/msc/documents/presentations/CSR/2024-Microsoft-TCFD-Report.pdf,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/msc/documents/presentations/CSR/Responsible-AI-Transparency-Report-2025-vertical.pdf ; https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/msc/documents/presentations/CSR/2024-Microsoft-TCFD-Report.pdf
553,Microsoft,3.1a-ai-board-discussion,No,Yes,High,Medium,0,0,,
420,Salesforce,1.2-ai-competitive-driver,No,Yes,High,Medium,2,2,https://www.sec.gov/Archives/edgar/data/1108524/000110852426000060/crm-20260131.htm ; https://www.sec.gov/Archives/edgar/data/1108524/000110852426000060/crm-20260131.htm,https://www.sec.gov/Archives/edgar/data/1108524/000110852426000060/crm-20260131.htm ; https://www.salesforce.com/artificial-intelligence/ai-compliance/
420,Salesforce,2.2a-ai-production-deployment,No,Yes,High,High,0,1,,https://www.sec.gov/Archives/edgar/data/1108524/000110852426000060/crm-20260131.htm
420,Salesforce,4.3-data-security-privacy-ai,Yes,No,High,High,3,2,https://www.salesforce.com/eu/artificial-intelligence/ai-governance/ ; https://www.salesforce.com/eu/artificial-intelligence/ai-governance/ ; https://www.salesforce.com/ca/artificial-intelligence/ai-ethics/,https://www.salesforce.com/artificial-intelligence/ai-governance/ ; https://www.salesforce.com/artificial-intelligence/ai-governance/
2063,Alphabet,1.3-ai-technology-differentiation,Yes,No,High,High,3,2,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm ; https://www.sec.gov/Archives/edgar/data/1652044/000130817925000511/goog012701-def14a.htm ; https://www.sec.gov/Archives/edgar/data/1652044/000165204417000008/goog10-kq42016.htm,https://www.sec.gov/Archives/edgar/data/1652044/000130817925000511/goog012701-def14a.htm ; https://www.sec.gov/Archives/edgar/data/1652044/000130817926000342/goog-20260424.htm
2063,Alphabet,1.4-ai-regulation-readiness,Partial,Yes,High,High,2,3,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm ; https://finnhub.io/api/news?id=dfb09ad1bc5ff79f26a1f5504ee3d6551be4ae1c4630d2319334e3c1ccb9cc53,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm ; https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm ; https://finnhub.io/api/news?id=dfb09ad1bc5ff79f26a1f5504ee3d6551be4ae1c4630d2319334e3c1ccb9cc53
2063,Alphabet,2.1a-ai-use-cases-qualitative,Yes,No,High,High,2,0,https://www.sec.gov/Archives/edgar/data/1652044/000130817926000342/goog-20260424.htm ; https://collaborate.unpri.org/system/files/supporting-materials/2026-05/Alphabet_Exempt-Solicitation-Letter_Final.pdf,
2063,Alphabet,2.2a-ai-production-deployment,Yes,No,High,High,2,0,https://www.sec.gov/Archives/edgar/data/1652044/000130817926000342/goog-20260424.htm ; https://www.sec.gov/Archives/edgar/data/1652044/000130817925000511/goog012701-def14a.htm,
2063,Alphabet,4.3-data-security-privacy-ai,Yes,No,High,High,3,2,https://www.sec.gov/Archives/edgar/data/1652044/000130817926000342/goog-20260424.htm ; https://www.sec.gov/Archives/edgar/data/1652044/000130817926000342/goog-20260424.htm ; https://www.sec.gov/Archives/edgar/data/1652044/000130817925000511/goog012701-def14a.htm,https://www.sec.gov/Archives/edgar/data/1652044/000130817926000342/goog-20260424.htm ; https://www.sec.gov/Archives/edgar/data/1652044/000130817925000511/goog012701-def14a.htm
866,Apple,3.3-ai-governance-committees,Partial,Yes,High,High,2,2,https://www.sec.gov/Archives/edgar/data/320193/000130817925000008/aapl4359751-def14a.htm ; https://www.apple.com/legal/dsa/20232808_app-store_risk-assessment-report_non-confidential.pdf,https://www.sec.gov/Archives/edgar/data/320193/000130817925000008/aapl4359751-def14a.htm ; https://www.apple.com/legal/privacy/en-ww/governance/
1914,360 Security,2.2a-ai-production-deployment,Yes,Partial,High,Low,2,3,https://static.cninfo.com.cn/finalpage/2026-04-30/1225257356.PDF ; https://static.cninfo.com.cn/finalpage/2026-04-30/1225257356.PDF,https://static.cninfo.com.cn/finalpage/2026-04-30/1225257356.PDF ; https://static.cninfo.com.cn/finalpage/2026-04-30/1225257356.PDF ; https://static.cninfo.com.cn/finalpage/2026-04-30/1225257356.PDF
1914,360 Security,5.2a-ai-financial-impact-qualitative,Partial,Yes,Low,High,2,1,https://static.cninfo.com.cn/finalpage/2026-04-30/1225257356.PDF ; https://static.cninfo.com.cn/finalpage/2026-04-30/1225257356.PDF,https://static.cninfo.com.cn/finalpage/2026-04-30/1225257356.PDF
