company,measureId,title,category,v3j_verdict,v3k_verdict,classification,reason,v3j_sources,v3k_sources
Amazon,2.1a-ai-use-cases-qualitative,Does the company reference multiple AI use cases qualitatively?,AI Deployment and Use Cases,Yes,No,ENFORCED,v3j Yes relied on EDGAR-DEF14A-proxy (no EDGAR primary); removed by source-quality gate,[EDGAR-DEF14A-proxy] https://www.sec.gov/Archives/edgar/data/1018724/000110465926041026/tm261382-1_def14a.htm,
Amazon,2.2a-ai-production-deployment,Has the company stated any AI use case as in production?,AI Deployment and Use Cases,Yes,No,ENFORCED,v3j Yes relied on EDGAR-DEF14A-proxy (no EDGAR primary); removed by source-quality gate,[EDGAR-DEF14A-proxy] https://www.sec.gov/Archives/edgar/data/1018724/000110465926041026/tm261382-1_def14a.htm,
Amazon,3.4-ai-safety-robustness,Does the company disclose AI safety and robustness testing practices?,AI Governance and Oversight,Yes,No,ENFORCED,v3j Yes relied on company-marketing (no EDGAR primary); removed by source-quality gate,[company-marketing] https://aws.amazon.com/blogs/publicsector/national-framework-for-ai-assurance-in-australian-government-guidance-when-building-with-aws-ai-ml-solutions/ | [company-marketing] https://aws.amazon.com/blogs/machine-learning/responsible-ai-in-action-how-data-reply-red-teaming-supports-generative-ai-safety-on-aws/ | [company-marketing] https://www.aboutamazon.com/news/company-news/amazon-responsible-ai,
Oracle,2.2a-ai-production-deployment,Has the company stated any AI use case as in production?,AI Deployment and Use Cases,Yes,No,ENFORCED,v3j Yes relied on other-web (no EDGAR primary); removed by source-quality gate,[other-web] https://www.oracle.com/financial-services/chartis-ai-report/,
Oracle,2.3-ai-use-case-descriptions,Does the company provide qualitative descriptions of AI use cases in key business areas?,AI Deployment and Use Cases,Yes,No,ENFORCED,v3j Yes relied on other-web (no EDGAR primary); removed by source-quality gate,[other-web] https://www.oracle.com/artificial-intelligence/ai-vs-gen-ai-vs-ml/ | [other-web] https://www.oracle.com/artificial-intelligence/generative-ai/ | [other-web] https://www.oracle.com/artificial-intelligence/machine-learning/,[other-web] https://www.oracle.com/artificial-intelligence/ai-vs-gen-ai-vs-ml/
Oracle,4.2-operationalisation-ai-principles,"Does the company describe how AI principles are operationalised (controls, processes, KPIs)?",AI Policies and Ethical Considerations,Partial,Yes,IMPROVED,v3k now cites company-marketing,[company-marketing] https://blogs.oracle.com/cloud-infrastructure/raising-the-bar-for-trustworthy-ai-at-oracle | [other-web] https://www.oracle.com/il-en/corporate/responsible-ai-iso-42001/ | [other-web] https://www.ateam-oracle.com/ciso-perspectives-a-practical-guide-to-implementing-the-nist-ai-risk-management-framework-ai-rmf | [other-web] https://www.oracle.com/ai-data-platform/ | [company-marketing] https://blogs.oracle.com/ai-and-datascience/building-trustworthy-ai-at-oracle,[company-marketing] https://blogs.oracle.com/cloud-infrastructure/raising-the-bar-for-trustworthy-ai-at-oracle | [other-web] https://www.oracle.com/il-en/corporate/responsible-ai-iso-42001/ | [other-web] https://www.ateam-oracle.com/ciso-perspectives-a-practical-guide-to-implementing-the-nist-ai-risk-management-framework-ai-rmf
Oracle,8.2-ai-public-policy-advocacy,Does the company engage in public policy advocacy related to AI ethics and governance?,Community and Societal Impact,Yes,No,ENFORCED,v3j Yes relied on company-marketing (no EDGAR primary); removed by source-quality gate,[company-marketing] https://blogs.oracle.com/cloud-infrastructure/raising-the-bar-for-trustworthy-ai-at-oracle,
Oracle,9.3-ai-business-model-risk,Does the company disclose AI as a competitive risk to its existing business model?,AI Risk Disclosure and Capital Allocation,No,Partial,OTHER,No->Partial,,[EDGAR-primary] https://www.sec.gov/Archives/edgar/data/1341439/000095017025087926/orcl-20250531.htm
Meta,1.2-ai-competitive-driver,Is AI mentioned as a material driver of the company's competitive strategy?,AI Strategy and Integration,Partial,No,OTHER,Partial->No,[EDGAR-primary] https://www.sec.gov/Archives/edgar/data/1326801/000162828026025532/meta-20260416.htm,[EDGAR-primary] https://www.sec.gov/Archives/edgar/data/1326801/000162828026003942/meta-20251231.htm
Meta,2.1a-ai-use-cases-qualitative,Does the company reference multiple AI use cases qualitatively?,AI Deployment and Use Cases,Yes,Partial,RESAMPLE,"v3j & v3k both have EDGAR primary in pack; verdict flip is grader resampling, not source loss",[EDGAR-primary] https://www.sec.gov/Archives/edgar/data/1326801/000162828026025532/meta-20260416.htm | [EDGAR-primary] https://www.sec.gov/Archives/edgar/data/1326801/000162828026028526/meta-20260331.htm,[EDGAR-primary] https://www.sec.gov/Archives/edgar/data/1326801/000162828026025532/meta-20260416.htm | [EDGAR-primary] https://www.sec.gov/Archives/edgar/data/1326801/000162828026003942/meta-20251231.htm
Meta,3.3-ai-governance-committees,Has the company established a cross-functional AI governance/ethics committee at management level?,AI Governance and Oversight,Yes,No,RESAMPLE,"v3j & v3k both have EDGAR primary in pack; verdict flip is grader resampling, not source loss",[EDGAR-primary] https://www.sec.gov/Archives/edgar/data/1326801/000162828026025532/meta-20260416.htm,[EDGAR-primary] https://www.sec.gov/Archives/edgar/data/1326801/000162828026025532/meta-20260416.htm
NVIDIA,2.1a-ai-use-cases-qualitative,Does the company reference multiple AI use cases qualitatively?,AI Deployment and Use Cases,Yes,Partial,ENFORCED,v3j Yes relied on other-web (no EDGAR primary); removed by source-quality gate,[other-web] https://fortune.com/company-assets/1936/quartr/annual-report-10-k-4ccfc-2026-02-25-09-13-43.pdf | [other-web] https://www.nvidia.com/en-us/solutions/ai/cybersecurity/ | [other-web] https://images.nvidia.com/aem-dam/Solutions/documents/NVIDIA-Sustainability-Report-Fiscal-Year-2025.pdf,[other-web] https://investor.nvidia.com/files/doc_financials/2026/q4/10K-NVDA.pdf | [other-web] https://www.nvidia.com/en-us/solutions/ai/cybersecurity/ | [EDGAR-primary] https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm
NVIDIA,4.2-operationalisation-ai-principles,"Does the company describe how AI principles are operationalised (controls, processes, KPIs)?",AI Policies and Ethical Considerations,Yes,Partial,ENFORCED,v3j Yes relied on other-web (no EDGAR primary); removed by source-quality gate,[other-web] https://images.nvidia.com/aem-dam/Solutions/documents/FY2024-NVIDIA-Corporate-Sustainability-Report.pdf | [other-web] https://images.nvidia.com/aem-dam/Solutions/documents/NVIDIA-Sustainability-Report-Fiscal-Year-2025.pdf | [other-web] https://images.nvidia.com/content/pdf/NVIDIA-Frontier-AI-Risk-Assessment.pdf,[other-web] https://images.nvidia.com/aem-dam/Solutions/documents/FY2024-NVIDIA-Corporate-Sustainability-Report.pdf | [other-web] https://images.nvidia.com/aem-dam/Solutions/documents/NVIDIA-Sustainability-Report-Fiscal-Year-2025.pdf | [other-web] https://images.nvidia.com/content/pdf/NVIDIA-Frontier-AI-Risk-Assessment.pdf
NVIDIA,4.3-data-security-privacy-ai,Does the AI policy explicitly cover data security and personal data privacy?,AI Policies and Ethical Considerations,Yes,No,ENFORCED,v3j Yes relied on other-web (no EDGAR primary); removed by source-quality gate,[other-web] https://images.nvidia.com/aem-dam/Solutions/documents/FY2024-NVIDIA-Corporate-Sustainability-Report.pdf,[other-web] https://images.nvidia.com/aem-dam/Solutions/documents/FY2024-NVIDIA-Corporate-Sustainability-Report.pdf
NVIDIA,5.1a-ai-kpis-qualitative,Does the company reference internally tracked AI metrics qualitatively?,AI Performance and Impact Measurement,Yes,No,ENFORCED,v3j Yes relied on other-web (no EDGAR primary); removed by source-quality gate,[other-web] https://images.nvidia.com/aem-dam/Solutions/documents/NVIDIA-Sustainability-Report-Fiscal-Year-2025.pdf,
NVIDIA,9.1-ai-risk-factor-disclosure,"Does the company disclose AI as a material risk factor in its 10-K, 20-F or equivalent annual filing?",AI Risk Disclosure and Capital Allocation,No,Yes,IMPROVED,v3k now cites EDGAR-primary,,[EDGAR-primary] https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm
Microsoft,2.1a-ai-use-cases-qualitative,Does the company reference multiple AI use cases qualitatively?,AI Deployment and Use Cases,Partial,Yes,IMPROVED,v3k now cites EDGAR-primary,[EDGAR-primary] https://www.sec.gov/Archives/edgar/data/789019/000121465925016180/u1110251px14a6g.htm | [company-marketing] https://blogs.microsoft.com/on-the-issues/2023/10/26/microsofts-ai-safety-policies/,[EDGAR-primary] https://www.sec.gov/Archives/edgar/data/789019/000121465925016180/u1110251px14a6g.htm | [company-marketing] https://blogs.microsoft.com/on-the-issues/2023/10/26/microsofts-ai-safety-policies/
Microsoft,3.1-board-oversight-ai-charter,"Does the board (or a board committee) have an explicit, documented charter mandate for AI strategy and risk?",AI Governance and Oversight,No,Partial,OTHER,No->Partial,[other-web] https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/responsible-aI-transparency-report-2024.pdf | [other-web] https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/msc/documents/presentations/CSR/2024-Microsoft-TCFD-Report.pdf,[other-web] https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/msc/documents/presentations/CSR/Responsible-AI-Transparency-Report-2025-vertical.pdf | [other-web] https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/msc/documents/presentations/CSR/2024-Microsoft-TCFD-Report.pdf
Microsoft,3.1a-ai-board-discussion,Is AI risk or oversight discussed by the board in proxy or 10-K?,AI Governance and Oversight,Yes,No,ENFORCED,v3j Yes relied on EDGAR-DEF14A-proxy (no EDGAR primary); removed by source-quality gate,[EDGAR-DEF14A-proxy] https://www.sec.gov/Archives/edgar/data/789019/000119312525245150/d908201ddef14a.htm,
Microsoft,4.3-data-security-privacy-ai,Does the AI policy explicitly cover data security and personal data privacy?,AI Policies and Ethical Considerations,Yes,No,ENFORCED,v3j Yes relied on other-web (no EDGAR primary); removed by source-quality gate,[other-web] https://www.microsoft.com/en-us/ai/principles-and-approach | [other-web] https://www.microsoft.com/en-us/ai/responsible-ai,[other-web] https://www.microsoft.com/en-us/ai/principles-and-approach | [other-web] https://www.microsoft.com/en-us/ai/responsible-ai
Microsoft,7.1-strategic-ai-partnerships,Has the company disclosed strategic partnerships with foundation-model providers or hyperscalers?,AI Partnerships and Ecosystem Engagement,Yes,No,ENFORCED,v3j Yes relied on EDGAR-DEF14A-proxy (no EDGAR primary); removed by source-quality gate,[EDGAR-DEF14A-proxy] https://www.sec.gov/Archives/edgar/data/789019/000119312525245150/d908201ddef14a.htm | [company-marketing] https://blogs.microsoft.com/on-the-issues/2023/10/26/microsofts-ai-safety-policies/,
Salesforce,2.1a-ai-use-cases-qualitative,Does the company reference multiple AI use cases qualitatively?,AI Deployment and Use Cases,Partial,Yes,IMPROVED,v3k now cites other-web,[EDGAR-primary] https://www.sec.gov/Archives/edgar/data/1108524/000110852426000085/crm-20260416.htm | [other-web] https://www.salesforce.com/company/ethical-and-humane-use/explore-trusted-ai-resources/,[other-web] https://www.salesforce.com/artificial-intelligence/ai-governance/ | [other-web] https://www.salesforce.com/company/ethical-and-humane-use/explore-trusted-ai-resources/
Salesforce,2.3-ai-use-case-descriptions,Does the company provide qualitative descriptions of AI use cases in key business areas?,AI Deployment and Use Cases,Partial,No,OTHER,Partial->No,[third-party-mirror] https://stocklight.com/stocks/us/nyse-crm/salesforce-com/annual-reports/nyse-crm-2025-10K-25711276.pdf | [EDGAR-primary] https://www.sec.gov/Archives/edgar/data/1108524/000110852426000085/crm-20260416.htm,
Salesforce,4.4-third-party-ai-risk,Does the company have a policy for managing third-party AI risks?,AI Policies and Ethical Considerations,No,Yes,IMPROVED,v3k now cites other-web,,[other-web] https://www.salesforce.com/artificial-intelligence/ai-compliance/ | [other-web] https://www.salesforce.com/in/artificial-intelligence/ai-compliance/ | [other-web] https://www.salesforce.com/uk/artificial-intelligence/ai-compliance/
Alphabet,1.1a-ai-strategic-priority,Does the company name AI as a stated strategic priority?,AI Strategy and Integration,Yes,No,COLLATERAL?,v3j cited EDGAR primary; v3k pack lost EDGAR primary for this measure,[EDGAR-primary] https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,
Alphabet,4.3-data-security-privacy-ai,Does the AI policy explicitly cover data security and personal data privacy?,AI Policies and Ethical Considerations,No,Yes,IMPROVED,v3k now cites EDGAR-primary,[EDGAR-primary] https://www.sec.gov/Archives/edgar/data/1652044/000130817926000342/goog-20260424.htm | [EDGAR-DEF14A-proxy] https://www.sec.gov/Archives/edgar/data/1652044/000130817925000511/goog012701-def14a.htm,[EDGAR-primary] https://www.sec.gov/Archives/edgar/data/1652044/000130817926000342/goog-20260424.htm | [EDGAR-DEF14A-proxy] https://www.sec.gov/Archives/edgar/data/1652044/000130817925000511/goog012701-def14a.htm
Alphabet,9.3-ai-business-model-risk,Does the company disclose AI as a competitive risk to its existing business model?,AI Risk Disclosure and Capital Allocation,No,Yes,IMPROVED,v3k now cites EDGAR-primary,[EDGAR-primary] https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,[EDGAR-primary] https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm
