companyId,companyName,measureId,measureTitle,r12Verdict,r14Verdict,r12Conf,r14Conf,r12Quotes,r14Quotes,r12SourceUrls,r14SourceUrls,snapshotR12Id,runR14
853,Amazon,2.1a-ai-use-cases-qualitative,Does the company reference multiple AI use cases qualitatively?,No,Yes,High,High,0,3,,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm ; https://www.sec.gov/Archives/edgar/data/1018724/000110465926041026/tm261382-1_def14a.htm ; https://d1.awsstatic.com/onedam/marketing-channels/website/aws/en_US/whitepapers/compliance/AWS-User-Guide-Governance-Risk-Compliance-for-Responsible-AI-Adoption-Financial-Services.pdf,85,batch135
853,Amazon,3.4-ai-safety-robustness,Does the company disclose AI safety and robustness testing practices?,No,Yes,High,High,0,3,,https://aws.amazon.com/blogs/publicsector/national-framework-for-ai-assurance-in-australian-government-guidance-when-building-with-aws-ai-ml-solutions/ ; https://aws.amazon.com/blogs/publicsector/national-framework-for-ai-assurance-in-australian-government-guidance-when-building-with-aws-ai-ml-solutions/ ; https://aws.amazon.com/blogs/machine-learning/responsible-ai-in-action-how-data-reply-red-teaming-supports-generative-ai-safety-on-aws/,85,batch135
853,Amazon,4.1a-ai-policy-internal,Has the company referenced an internal AI policy or guidelines?,Yes,No,High,High,2,1,https://d1.awsstatic.com/onedam/marketing-channels/website/aws/en_US/whitepapers/compliance/AWS-User-Guide-Governance-Risk-Compliance-for-Responsible-AI-Adoption-Financial-Services.pdf ; https://aws.amazon.com/blogs/security/enabling-ai-adoption-at-scale-through-enterprise-risk-management-framework-part-2/,https://d1.awsstatic.com/onedam/marketing-channels/website/aws/en_US/whitepapers/compliance/AWS-User-Guide-Governance-Risk-Compliance-for-Responsible-AI-Adoption-Financial-Services.pdf,85,batch135
552,Oracle,1.3-ai-technology-differentiation,Does the company distinguish between traditional/predictive AI and generative AI in its disclosures?,Yes,Partial,High,Low,3,3,https://www.oracle.com/artificial-intelligence/ai-vs-gen-ai-vs-ml/ ; https://www.oracle.com/artificial-intelligence/ai-vs-gen-ai-vs-ml/ ; https://www.oracle.com/artificial-intelligence/ai-vs-gen-ai-vs-ml/,https://www.sec.gov/Archives/edgar/data/1341439/000095017025087926/orcl-20250531.htm ; https://www.oracle.com/artificial-intelligence/ai-vs-gen-ai-vs-ml/ ; https://www.oracle.com/artificial-intelligence/machine-learning/,85,batch135
552,Oracle,4.2-operationalisation-ai-principles,"Does the company describe how AI principles are operationalised (controls, processes, KPIs)?",Yes,Partial,High,Low,3,3,https://blogs.oracle.com/cloud-infrastructure/raising-the-bar-for-trustworthy-ai-at-oracle ; https://www.oracle.com/il-en/corporate/responsible-ai-iso-42001/ ; https://www.ateam-oracle.com/ciso-perspectives-a-practical-guide-to-implementing-the-nist-ai-risk-management-framework-ai-rmf,https://blogs.oracle.com/cloud-infrastructure/raising-the-bar-for-trustworthy-ai-at-oracle ; https://www.oracle.com/il-en/corporate/responsible-ai-iso-42001/ ; https://www.ateam-oracle.com/ciso-perspectives-a-practical-guide-to-implementing-the-nist-ai-risk-management-framework-ai-rmf,85,batch135
1918,Meta,1.2-ai-competitive-driver,Is AI mentioned as a material driver of the company's competitive strategy?,No,Partial,High,Low,1,2,https://www.sec.gov/Archives/edgar/data/1326801/000162828026003942/meta-20251231.htm,https://www.sec.gov/Archives/edgar/data/1326801/000162828026025532/meta-20260416.htm ; https://www.sec.gov/Archives/edgar/data/1326801/000162828026025532/meta-20260416.htm,85,batch135
1918,Meta,1.4-ai-regulation-readiness,Does the company disclose readiness for emerging AI regulations?,Yes,Partial,High,High,4,2,https://www.sec.gov/Archives/edgar/data/1326801/000162828026003942/meta-20251231.htm ; https://www.sec.gov/Archives/edgar/data/1326801/000132680124000022/meta-20240329.htm ; https://techstrong.ai/articles/meta-takes-a-cautionary-approach-with-ai-policy-document/ ; https://techstrong.ai/articles/meta-takes-a-cautionary-approach-with-ai-policy-document/,https://www.sec.gov/Archives/edgar/data/1326801/000162828026003942/meta-20251231.htm ; https://techstrong.ai/articles/meta-takes-a-cautionary-approach-with-ai-policy-document/,85,batch135
1918,Meta,2.1a-ai-use-cases-qualitative,Does the company reference multiple AI use cases qualitatively?,Partial,Yes,Low,High,2,1,https://www.sec.gov/Archives/edgar/data/1326801/000162828026025532/meta-20260416.htm ; https://www.sec.gov/Archives/edgar/data/1326801/000162828026003942/meta-20251231.htm,https://www.sec.gov/Archives/edgar/data/1326801/000162828026025532/meta-20260416.htm,85,batch135
1312,NVIDIA,5.1a-ai-kpis-qualitative,Does the company reference internally tracked AI metrics qualitatively?,No,Partial,High,Low,0,1,,https://images.nvidia.com/content/pdf/NVIDIA-Frontier-AI-Risk-Assessment.pdf,85,batch135
553,Microsoft,3.1-board-oversight-ai-charter,"Does the board (or a board committee) have an explicit, documented charter mandate for AI strategy and risk?",Partial,Yes,Low,Medium,2,2,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/msc/documents/presentations/CSR/Responsible-AI-Transparency-Report-2025-vertical.pdf ; https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/msc/documents/presentations/CSR/2024-Microsoft-TCFD-Report.pdf,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/msc/documents/presentations/CSR/2024-Microsoft-TCFD-Report.pdf ; https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/msc/documents/presentations/CSR/Responsible-AI-Transparency-Report-2025-vertical.pdf,85,batch135
420,Salesforce,1.2-ai-competitive-driver,Is AI mentioned as a material driver of the company's competitive strategy?,No,Yes,High,High,2,2,https://www.sec.gov/Archives/edgar/data/1108524/000110852426000060/crm-20260131.htm ; https://www.sec.gov/Archives/edgar/data/1108524/000110852426000060/crm-20260131.htm,https://www.sec.gov/Archives/edgar/data/1108524/000110852426000060/crm-20260131.htm ; https://www.salesforce.com/artificial-intelligence/ai-compliance/,85,batch135
420,Salesforce,2.2a-ai-production-deployment,Has the company stated any AI use case as in production?,No,Yes,High,High,0,1,,https://www.sec.gov/Archives/edgar/data/1108524/000110852426000060/crm-20260131.htm,85,batch135
420,Salesforce,4.3-data-security-privacy-ai,Does the AI policy explicitly cover data security and personal data privacy?,Yes,No,High,High,3,2,https://www.salesforce.com/eu/artificial-intelligence/ai-governance/ ; https://www.salesforce.com/eu/artificial-intelligence/ai-governance/ ; https://www.salesforce.com/ca/artificial-intelligence/ai-ethics/,https://www.salesforce.com/artificial-intelligence/ai-governance/ ; https://www.salesforce.com/artificial-intelligence/ai-governance/,85,batch135
2063,Alphabet,1.3-ai-technology-differentiation,Does the company distinguish between traditional/predictive AI and generative AI in its disclosures?,Yes,No,High,High,3,2,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm ; https://www.sec.gov/Archives/edgar/data/1652044/000130817925000511/goog012701-def14a.htm ; https://www.sec.gov/Archives/edgar/data/1652044/000165204417000008/goog10-kq42016.htm,https://www.sec.gov/Archives/edgar/data/1652044/000130817925000511/goog012701-def14a.htm ; https://www.sec.gov/Archives/edgar/data/1652044/000130817926000342/goog-20260424.htm,85,batch135
2063,Alphabet,1.4-ai-regulation-readiness,Does the company disclose readiness for emerging AI regulations?,Partial,Yes,High,High,2,3,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm ; https://finnhub.io/api/news?id=dfb09ad1bc5ff79f26a1f5504ee3d6551be4ae1c4630d2319334e3c1ccb9cc53,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm ; https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm ; https://finnhub.io/api/news?id=dfb09ad1bc5ff79f26a1f5504ee3d6551be4ae1c4630d2319334e3c1ccb9cc53,85,batch135
2063,Alphabet,2.1a-ai-use-cases-qualitative,Does the company reference multiple AI use cases qualitatively?,Yes,No,High,High,2,0,https://www.sec.gov/Archives/edgar/data/1652044/000130817926000342/goog-20260424.htm ; https://collaborate.unpri.org/system/files/supporting-materials/2026-05/Alphabet_Exempt-Solicitation-Letter_Final.pdf,,85,batch135
