companyId,companyName,measureId,measureTitle,r12Verdict,r14Verdict,r12Conf,r14Conf,r12Quotes,r14Quotes,r12SourceUrls,r14SourceUrls,snapshotR12Id,runR14
853,Amazon,1.1-ai-strategy-objectives,Does the company state a formal AI strategy with defined objectives?,No,No,High,High,0,0,,,85,batch135
853,Amazon,1.1a-ai-strategic-priority,Does the company name AI as a stated strategic priority?,No,No,High,High,0,0,,,85,batch135
853,Amazon,1.2-ai-competitive-driver,Is AI mentioned as a material driver of the company's competitive strategy?,No,No,High,High,0,1,,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm,85,batch135
853,Amazon,1.3-ai-technology-differentiation,Does the company distinguish between traditional/predictive AI and generative AI in its disclosures?,Yes,Yes,High,High,3,4,https://www.sec.gov/Archives/edgar/data/1018724/000110465924045910/tm2329302d4_def14a.htm ; https://d1.awsstatic.com/onedam/marketing-channels/website/aws/en_US/whitepapers/compliance/AWS-User-Guide-Governance-Risk-Compliance-for-Responsible-AI-Adoption-Financial-Services.pdf ; https://d1.awsstatic.com/onedam/marketing-channels/website/aws/en_US/whitepapers/compliance/AWS-User-Guide-Governance-Risk-Compliance-for-Responsible-AI-Adoption-Financial-Services.pdf,https://www.sec.gov/Archives/edgar/data/1018724/000110465924045910/tm2329302d4_def14a.htm ; https://d1.awsstatic.com/onedam/marketing-channels/website/aws/en_US/whitepapers/compliance/AWS-User-Guide-Governance-Risk-Compliance-for-Responsible-AI-Adoption-Financial-Services.pdf ; https://d1.awsstatic.com/onedam/marketing-channels/website/aws/en_US/whitepapers/compliance/AWS-User-Guide-Governance-Risk-Compliance-for-Responsible-AI-Adoption-Financial-Services.pdf ; https://aws.amazon.com/blogs/publicsector/national-framework-for-ai-assurance-in-australian-government-guidance-when-building-with-aws-ai-ml-solutions/,85,batch135
853,Amazon,1.4-ai-regulation-readiness,Does the company disclose readiness for emerging AI regulations?,Yes,Yes,High,High,3,3,https://www.sec.gov/Archives/edgar/data/1018724/000110465925033442/tm252295-1_def14a.htm ; https://www.sec.gov/Archives/edgar/data/1018724/000110465925033442/tm252295-1_def14a.htm ; https://www.sec.gov/Archives/edgar/data/1018724/000110465925033442/tm252295-1_def14a.htm,https://www.sec.gov/Archives/edgar/data/1018724/000110465925033442/tm252295-1_def14a.htm ; https://aws.amazon.com/blogs/security/enabling-ai-adoption-at-scale-through-enterprise-risk-management-framework-part-2/ ; https://d1.awsstatic.com/onedam/marketing-channels/website/aws/en_US/whitepapers/compliance/AWS-User-Guide-Governance-Risk-Compliance-for-Responsible-AI-Adoption-Financial-Services.pdf,85,batch135
853,Amazon,2.1-ai-use-cases-count,Does the company disclose a specific number of AI use cases (in production or piloting)?,No,No,High,High,0,0,,,85,batch135
853,Amazon,2.1a-ai-use-cases-qualitative,Does the company reference multiple AI use cases qualitatively?,No,Yes,High,High,0,3,,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm ; https://www.sec.gov/Archives/edgar/data/1018724/000110465926041026/tm261382-1_def14a.htm ; https://d1.awsstatic.com/onedam/marketing-channels/website/aws/en_US/whitepapers/compliance/AWS-User-Guide-Governance-Risk-Compliance-for-Responsible-AI-Adoption-Financial-Services.pdf,85,batch135
853,Amazon,2.2-ai-production-pilot-breakdown,Does the company disclose a breakdown of AI use cases by production vs pilot stage?,No,No,High,High,0,0,,,85,batch135
853,Amazon,2.2a-ai-production-deployment,Has the company stated any AI use case as in production?,No,No,High,High,0,1,,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm,85,batch135
853,Amazon,2.3-ai-use-case-descriptions,Does the company provide qualitative descriptions of AI use cases in key business areas?,No,No,High,High,0,2,,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm ; https://www.sec.gov/Archives/edgar/data/1018724/000110465926041026/tm261382-1_def14a.htm,85,batch135
853,Amazon,3.1-board-oversight-ai-charter,"Does the board (or a board committee) have an explicit, documented charter mandate for AI strategy and risk?",No,No,High,High,0,4,,https://www.sec.gov/Archives/edgar/data/1018724/000110465925033442/tm252295-1_def14a.htm ; https://www.sec.gov/Archives/edgar/data/1018724/000110465925033442/tm252295-1_def14a.htm ; https://www.sec.gov/Archives/edgar/data/1018724/000110465925033442/tm252295-1_def14a.htm ; https://www.sec.gov/Archives/edgar/data/1018724/000110465926041026/tm261382-1_def14a.htm,85,batch135
853,Amazon,3.1a-ai-board-discussion,Is AI risk or oversight discussed by the board in proxy or 10-K?,Yes,Yes,High,High,3,4,https://www.stocktitan.net/sec-filings/AMZN/def-14a-amazon-com-inc-definitive-proxy-statement-0223e31377e8.html ; https://www.stocktitan.net/sec-filings/AMZN/def-14a-amazon-com-inc-definitive-proxy-statement-0223e31377e8.html ; https://www.stocktitan.net/sec-filings/AMZN/def-14a-amazon-com-inc-definitive-proxy-statement-0223e31377e8.html,https://www.stocktitan.net/sec-filings/AMZN/def-14a-amazon-com-inc-definitive-proxy-statement-0223e31377e8.html ; https://www.stocktitan.net/sec-filings/AMZN/def-14a-amazon-com-inc-definitive-proxy-statement-0223e31377e8.html ; https://www.stocktitan.net/sec-filings/AMZN/def-14a-amazon-com-inc-definitive-proxy-statement-0223e31377e8.html ; https://www.stocktitan.net/sec-filings/AMZN/def-14a-amazon-com-inc-definitive-proxy-statement-0223e31377e8.html,85,batch135
853,Amazon,3.2-ai-leadership-accountability,Has the company appointed a named senior executive accountable for AI?,No,No,High,High,0,0,,,85,batch135
853,Amazon,3.3-ai-governance-committees,Has the company established a cross-functional AI governance/ethics committee at management level?,No,No,High,High,0,0,,,85,batch135
853,Amazon,3.4-ai-safety-robustness,Does the company disclose AI safety and robustness testing practices?,No,Yes,High,High,0,3,,https://aws.amazon.com/blogs/publicsector/national-framework-for-ai-assurance-in-australian-government-guidance-when-building-with-aws-ai-ml-solutions/ ; https://aws.amazon.com/blogs/publicsector/national-framework-for-ai-assurance-in-australian-government-guidance-when-building-with-aws-ai-ml-solutions/ ; https://aws.amazon.com/blogs/machine-learning/responsible-ai-in-action-how-data-reply-red-teaming-supports-generative-ai-safety-on-aws/,85,batch135
